doy,GROCERY I,SCHOOL AND OFFICE SUPPLIES
1,0.9374985314999252,0.3268816211885914
2,0.9705368888899908,0.3408466961202779
3,0.9733150652741706,0.32358602828435856
4,0.9705792632638965,0.3126693767890874
5,1.1052595315880542,0.3571598809962303
6,1.0382630086408857,0.32979468991644006
7,1.0002210572884642,0.3202610104434808
8,0.9662478238515286,0.3121397279294786
9,0.9333413863834558,0.2980157583399094
10,0.9116687809342422,0.29554406366173475
11,0.891235966798232,0.30613704085391164
12,0.879610238706901,0.3140817737480443
13,0.8787024683494605,0.3193782623441327
14,0.8798581420907352,0.3225561555017858
15,0.8798140409416791,0.32149685778256815
16,0.8809074463101254,0.3319132853548754
17,0.8866626248923241,0.3395049190092688
18,0.8927945436967969,0.3296181402965704
19,0.8903230791521839,0.33050088839591846
20,0.8854403718266178,0.32997123953630964
21,0.8782717391870821,0.3223796058819162
22,0.8705575177972912,0.32114375854282884
23,0.8653095359105979,0.3086087355320863
24,0.8544808349169649,0.30225294921678014
25,0.8455433014480711,0.3003109033982144
26,0.841416801801501,0.28583383456890604
27,0.8429686792256748,0.2800076971132087
28,0.8606551462769064,0.28583383456890593
29,0.9085658860209217,0.2722395138389457
30,0.9459360155348205,0.26041068930768146
31,0.9766197456516535,0.25846864348911575
32,1.00555038760873,0.249641162495635
33,1.028054690697821,0.24257917770085038
34,1.0365295471024882,0.22580696381323703
35,1.0164868023904972,0.1894377421200964
36,0.9770122683337347,0.1832585054246599
37,0.9517887173200811,0.1777854672087019
38,0.9263426573872598,0.17019383355430845
39,0.9051542477034362,0.16807523811587305
40,0.8945118740402018,0.17054693279404767
41,0.8961996967927659,0.181846108465703
42,0.9024700790581807,0.20073691779175176
43,0.8921079229569854,0.21080024612431977
44,0.8964225824294637,0.21786223091910437
45,0.9051903367138028,0.22156977293636632
46,0.9181433603892147,0.22104012407675744
47,0.9081163117938045,0.21433123852171207
48,0.9032979116541596,0.2086816506858844
49,0.9044252853610814,0.20868165068588443
50,0.9175067002456598,0.19720592539435947
51,0.9086304756753826,0.18714259706179145
52,0.9088191532442673,0.181846108465703
53,0.8990107247182516,0.1791978641676588
54,0.8875802698153267,0.1682517877357427
55,0.8839522426375582,0.17584342139013612
56,0.9013902458227767,0.18943774212009643
57,0.9368507827607928,0.22156977293636632
58,0.9725982218391651,0.24222607846111122
59,1.000937886987526,0.2627058343659865
60,1.0319725019189725,0.2875993307676022
