date,store_nbr,family,sales,pred,err2
2017-07-31,1,AUTOMOTIVE,8.0,2.773474840465496,0.7555578236868115
2017-08-01,1,AUTOMOTIVE,5.0,4.33066883215835,0.013990810003908167
2017-08-02,1,AUTOMOTIVE,4.0,3.7592602897473544,0.002434993922040893
2017-08-03,1,AUTOMOTIVE,3.0,3.722227284580917,0.027551421745036563
2017-08-04,1,AUTOMOTIVE,8.0,4.555228846464329,0.2327917352848456
2017-08-05,1,AUTOMOTIVE,5.0,4.150245416181636,0.02332190239728972
2017-08-06,1,AUTOMOTIVE,6.0,1.2973520731646182,1.2413368224674068
2017-08-07,1,AUTOMOTIVE,7.0,3.3734756491210236,0.36467528838614105
2017-08-08,1,AUTOMOTIVE,4.0,3.8469052983340792,0.0009670541308351106
2017-08-09,1,AUTOMOTIVE,7.0,3.4505946067000117,0.3438694576379989
2017-08-10,1,AUTOMOTIVE,9.0,3.684344762508031,0.5751084421560645
2017-08-11,1,AUTOMOTIVE,1.0,2.5984533421358798,0.3449881813113106
2017-08-12,1,AUTOMOTIVE,6.0,3.7687448345002883,0.14732317836738426
2017-08-13,1,AUTOMOTIVE,1.0,1.158424701730855,0.005811237065595347
2017-08-14,1,AUTOMOTIVE,1.0,3.0435382513364613,0.4955778902644606
2017-08-15,1,AUTOMOTIVE,4.0,3.4928118435087385,0.011440262104639875
2017-07-31,1,BABY CARE,0.0,0.0,0.0
2017-08-01,1,BABY CARE,0.0,0.0,0.0
2017-08-02,1,BABY CARE,0.0,0.0,0.0
2017-08-03,1,BABY CARE,0.0,0.0,0.0
2017-08-04,1,BABY CARE,0.0,0.0,0.0
2017-08-05,1,BABY CARE,0.0,0.0,0.0
2017-08-06,1,BABY CARE,0.0,0.0,0.0
2017-08-07,1,BABY CARE,0.0,0.0,0.0
2017-08-08,1,BABY CARE,0.0,0.0,0.0
2017-08-09,1,BABY CARE,0.0,0.0,0.0
2017-08-10,1,BABY CARE,0.0,0.0,0.0
2017-08-11,1,BABY CARE,0.0,0.0,0.0
2017-08-12,1,BABY CARE,0.0,0.0,0.0
2017-08-13,1,BABY CARE,0.0,0.0,0.0
2017-08-14,1,BABY CARE,0.0,0.0,0.0
2017-08-15,1,BABY CARE,0.0,0.0,0.0
2017-07-31,1,BEAUTY,3.0,2.7601676836475764,0.0038230488176497217
2017-08-01,1,BEAUTY,4.0,3.278956898619991,0.024251411751687345
2017-08-02,1,BEAUTY,2.0,4.574700939436218,0.38393685585892795
2017-08-03,1,BEAUTY,5.0,4.411300182183298,0.010664708559921203
2017-08-04,1,BEAUTY,7.0,4.411655077291027,0.15279230775233754
2017-08-05,1,BEAUTY,3.0,4.27670454657334,0.07673310122591578
2017-08-06,1,BEAUTY,2.0,2.72055315577597,0.04633689616576597
2017-08-07,1,BEAUTY,5.0,4.372167154259001,0.01221645541125956
2017-08-08,1,BEAUTY,2.0,4.274444939936644,0.31839065724988735
2017-08-09,1,BEAUTY,4.0,4.165152981313429,0.0010560425652728852
2017-08-10,1,BEAUTY,10.0,4.083554508282696,0.5958057578085041
2017-08-11,1,BEAUTY,1.0,2.399284827005126,0.2813431316013358
2017-08-12,1,BEAUTY,3.0,3.980887546135985,0.04809851486523683
2017-08-13,1,BEAUTY,1.0,1.4784875164946607,0.04601081679137702
2017-08-14,1,BEAUTY,6.0,4.089689619134051,0.10156541877095153
2017-08-15,1,BEAUTY,4.0,4.142288325799167,0.0007873786140162287
2017-07-31,1,BEVERAGES,2414.0,2292.7440128616704,0.002653678234049731
2017-08-01,1,BEVERAGES,2627.0,2834.7717777365965,0.005789845076985815
2017-08-02,1,BEVERAGES,2645.0,2808.131168706986,0.00357917147980491
2017-08-03,1,BEVERAGES,2037.0,2341.714164568794,0.01941597609100732
2017-08-04,1,BEVERAGES,2479.0,2690.3576503258664,0.006689147529943361
2017-08-05,1,BEVERAGES,2093.0,2265.3244500929695,0.006254155965069873
2017-08-06,1,BEVERAGES,968.0,1074.7797177226914,0.010927855698180387
2017-08-07,1,BEVERAGES,2086.0,2395.688130350918,0.019143547868930785
2017-08-08,1,BEVERAGES,2418.0,2418.9900706720223,1.674491446652e-07
2017-08-09,1,BEVERAGES,2311.0,2347.2706144568047,0.00024230651053638676
2017-08-10,1,BEVERAGES,2377.0,2064.6427824629764,0.019829806426842567
2017-08-11,1,BEVERAGES,1006.0,1376.2787198564881,0.09805289974028365
2017-08-12,1,BEVERAGES,1659.0,2020.931761977066,0.03890194891800081
2017-08-13,1,BEVERAGES,803.0,1032.7512349158424,0.06317690884195959
2017-08-14,1,BEVERAGES,2201.0,2209.2079098950376,1.3842489919891774e-05
2017-08-15,1,BEVERAGES,1942.0,2331.6370823709353,0.033403502941103426
2017-07-31,1,BOOKS,1.0,0.12043112156879866,0.3357433424072985
2017-08-01,1,BOOKS,0.0,0.12403118155509123,0.01367063545139962
2017-08-02,1,BOOKS,0.0,0.11644080344016636,0.012132090898803653
2017-08-03,1,BOOKS,0.0,0.10515703270956006,0.00999748734231068
2017-08-04,1,BOOKS,0.0,0.11908657136152831,0.0126591281997306
2017-08-05,1,BOOKS,0.0,0.0675099347633799,0.004267848535595769
2017-08-06,1,BOOKS,0.0,0.0,0.0
2017-08-07,1,BOOKS,0.0,0.16114344704680417,0.022321928673190845
2017-08-08,1,BOOKS,0.0,0.14292310541309688,0.0178460498284441
2017-08-09,1,BOOKS,0.0,0.139061410529574,0.016953237650777088
2017-08-10,1,BOOKS,0.0,0.1277765447818788,0.014459589886278396
2017-08-11,1,BOOKS,0.0,0.0,0.0
2017-08-12,1,BOOKS,0.0,0.07643605280608533,0.005425152299708005
2017-08-13,1,BOOKS,0.0,0.0,0.0
2017-08-14,1,BOOKS,0.0,0.1746505573981834,0.02591156799877215
2017-08-15,1,BOOKS,0.0,0.15630618532651977,0.02109192757682992
2017-07-31,1,BREAD/BAKERY,370.994,370.7282659214613,5.106613242475602e-07
2017-08-01,1,BREAD/BAKERY,373.70898,381.1772867599437,0.0003894675038962365
2017-08-02,1,BREAD/BAKERY,428.186,420.5977931075987,0.00031821667567613886
2017-08-03,1,BREAD/BAKERY,282.81,397.58431229836305,0.11533770283084054
2017-08-04,1,BREAD/BAKERY,385.044,424.5623807395108,0.009498488711893377
2017-08-05,1,BREAD/BAKERY,271.579,360.0779670217203,0.07905399891356622
2017-08-06,1,BREAD/BAKERY,144.024,169.56714769857703,0.026318508453290444
2017-08-07,1,BREAD/BAKERY,328.382,409.69293315413705,0.04867655665313514
2017-08-08,1,BREAD/BAKERY,361.412,375.75785007185465,0.0015070690607750688
2017-08-09,1,BREAD/BAKERY,399.547,407.4324685367687,0.00038007342862087597
2017-08-10,1,BREAD/BAKERY,417.021,352.8148054468197,0.027808244808034347
2017-08-11,1,BREAD/BAKERY,145.607,242.4827273288749,0.25734361864249045
2017-08-12,1,BREAD/BAKERY,243.22,342.3180633549444,0.11600008867399736
2017-08-13,1,BREAD/BAKERY,136.679,176.95830470335997,0.0658560780332578
2017-08-14,1,BREAD/BAKERY,346.038,400.55842354082085,0.021292282167993986
2017-08-15,1,BREAD/BAKERY,329.54102,370.6307932123605,0.013728833153128476
